"LAT","LONG","n_samples","POP_ID","cold_wet","hot_dry","intermediate"
-16.281528,36.443778,2,1,2,0,0
-9.99418,39.38803,2,2,0,2,0
-9.168889,37.034722,2,3,1,1,0
-8.34888,36.2277,2,4,2,0,0
-8.311798,36.091327,2,5,2,0,0
-7.94835,39.04373,2,6,0,2,0
-7.179167,37.8375,2,7,1,1,0
-6.71349,38.97007,2,8,0,2,0
-5.03361,38.92436,2,9,0,0,2
-4.904444,38.6625,2,10,0,0,2
-4.2375,39.39563889,2,11,0,0,2
